test_index,happy_predicted_classes,happy_predicted_classes_percent,happy_trials,happy_chance,sad_predicted_classes,sad_predicted_classes_percent,sad_trials,sad_chance,winner,test_index
0,"[0.  1.  0.  0.5 1.  1.  0.  0.5 0.  0.  1.  1.  1.  1.  1.  1.  1.  0.
 0.  0.  1.  0.5 1.  1.  1.  0.5 0.  0.  1.  0.5 0.5 0.  1.  0.  0.  0.
 0.  1.  1.  1.  1.  1.  1.  1.  0.  0.  1.  0.  1.  1.  0.  0.  1.  1.
 1.  1.  0.5 1.  1.  0.  0.  1.  0.  1.  1.  0.  0.  1.  0.  0.  1.  1. ]",0.576388889,[0. 1. 0. 1. 1. 1. 0. 1. 0. 0. 0. 0. 1. 1. 1. 0. 1. 1. 1. 1. 0. 1. 0. 1.],0.583333333,"[0.  1.  1.  1.  1.  1.  1.  1.  0.  0.  0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.
 0.  0.  0.5 0.5 0.5 0.  0.  0.5 1.  1.  0.  0.  0.  1.  1.  1.  1.  1.
 1.  1.  0.  0.  1.  1.  1.  1.  1.  1.  1.  0.  0.  1.  1.  1.  0.5 0.5
 0.5 1.  1.  0.  0.  0.  1.  1.  1.  1.  1.  1.  1.  0.  0.  1.  0.5 0.5
 1.  1.  1.  0.5 0.  0. ]",0.608974359,"[1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 1. 1. 0. 1.
 1. 0.]",0.615384615,FALSE,0
1,"[0.  1.  0.5 0.5 0.5 1.  0.  0.5 0.  1.  1.  0.5 0.5 1.  1.  1.  0.5 1.
 0.  0.  1.  1.  0.  0.  1.  0.  0.  1.  1.  0.  0.  1.  1.  1.  1.  1.
 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  0.5 0.5 1.  0.  0.  0.5 1.
 1.  1.  1.  1.  1.  1.  1.  1.  0.  1.  1.  1.  1.  1.  1.  1.  1.  0.
 1.  1.  0.5 1.  1.  1.  1.  0.5 0.5]",0.734567901,"[0. 1. 0. 1. 1. 1. 0. 0. 0. 1. 1. 1. 1. 1. 1. 1. 0. 0. 1. 1. 1. 1. 1. 1.
 1. 1. 1.]",0.740740741,"[0.5 1.  0.5 0.5 0.5 0.5 1.  0.5 0.5 1.  1.  0.5 0.5 1.  1.  1.  1.  1.
 1.  1.  1.  1.  0.5 1.  1.  1.  1.  0.  1.  0.5 1.  1.  0.5 1.  1.  1.
 1.  1.  1.  1.  0.5 1.  1.  1.  0.  0.  0.  1.  0.5 0.  1.  0.5 1.  1.
 1.  1.  1.  1.  1.  0.5 0.5 1.  1.  1.  1.  1. ]",0.795454545,[1. 0. 1. 1. 1. 1. 1. 1. 1. 0. 1. 1. 1. 1. 1. 0. 0. 1. 1. 1. 1. 1.],0.818181818,FALSE,1
2,"[1.  1.  0.  1.  1.  1.  1.  1.  1.  0.  1.  1.  1.  1.  1.  0.  1.  1.
 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  0.5 0.5 0.5 1.  1.  0.
 0.  1.  1.  0.  0.5 1.  1.  1.  1.  1.  1.  1.  1.  0.  1.  1.  1.  1. ]",0.875,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 1. 1. 0. 1. 1. 1. 1.],0.916666667,"[1.  1.  0.5 0.5 0.5 1.  0.5 0.5 0.5 0.  0.5 0.5 0.5 0.5 0.5 0.5 0.5 1.
 0.  0.  0.5 0.5 0.5 1.  1.  0.5 1.  0.5 0.5 0.5 1.  1.  0.  0.5 1.  0.
 0.  0.5 0.  1.  1.  1.  0.5 1.  1.  1.  0.  1.  1.  1.  1.  1.  1.  1.
 1.  1.  1.  0.  1.  1.  1.  1.  1.  1.  1.  1.  0.5 1.  1.  1.  1.  1.
 1.  1.  1.  0.5 1.  0. ]",0.711538462,"[1. 1. 0. 0. 0. 1. 0. 1. 1. 0. 1. 0. 0. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 0.]",0.692307692,TRUE,2
3,"[1.  1.  1.  1.  1.  0.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  0.5 1.
 0.  1.  1.  0.  1.  1.  1.  1.  1.  0.  1.  1.  1.  1.  1.  1.  1.  1.
 1.  1.  1.  1.  1.  1.  1.  1.  1.  0.5 0.5 0.5 1.  1.  0.5 0.5 1.  1.
 0.5 0.5 1.  1.  0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5]",0.818181818,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 1. 1. 1. 1. 0. 0.],0.863636364,"[1.  1.  1.  1.  1.  1.  1.  0.5 1.  0.  1.  0.5 0.5 1.  1.  0.5 0.5 1.
 1.  1.  1.  0.  1.  1.  1.  1.  1.  1.  1.  1.  0.  1.  1.  1.  1.  1.
 1.  1.  1.  0.5 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  0.  0.
 1.  1.  0.5 1.  1.  0.  1.  0.5 1.  1.  0.  1.  0.5 0.  1.  0.  0.  0.
 1.  1.  1.  0.5 1.  1.  1.  1.  0.5]",0.796296296,"[1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 1. 1. 1. 1. 0. 0.
 1. 1. 1.]",0.851851852,TRUE,3
4,"[1.  1.  1.  0.  1.  1.  1.  0.  1.  1.  0.  1.  0.  1.  1.  1.  1.  0.5
 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  0.5 1.  1.  1.  1.  1.  1.
 1.  1.  1.  1.  1.  1.  1.  1.  1.  0.  0.5 1.  1.  1.  1.  1.  1.  1.
 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  0. ]",0.891304348,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 1.],0.956521739,"[1.  1.  0.  1.  0.5 1.  0.5 0.  0.5 0.  1.  0.  1.  0.  1.  0.  0.  1.
 1.  1.  1.  0.  1.  0.  0.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
 1.  1.  1.  1.  1.  0.  1.  1.  1.  1.  1.  0.  1.  1.  0.  1.  1.  0.
 1.  0.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1. ]",0.803571429,"[1. 1. 0. 0. 1. 0. 1. 0. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1.]",0.857142857,TRUE,4
5,"[1.  1.  1.  1.  0.5 1.  1.  1.  1.  0.  1.  1.  0.  0.5 1.  1.  1.  1.
 0.  0.  0.  0.5 0.5 0.5 0.  0.  0.5 1.  1.  0.5 1.  1.  1.  1.  0.5 1.
 1.  1.  1.  1.  0.  1.  1.  0.5 0.  1.  1.  0.  1.  1.  1.  0.  1.  1.
 0.5 1.  1.  1.  1.  1.  1.  0.  0.  0.5 0.  1.  0.  1.  1.  0.  0.  1.
 0.5 0.  0.  0.  0.  1. ]",0.653846154,"[1. 1. 1. 1. 0. 1. 0. 0. 0. 1. 1. 1. 1. 1. 0. 1. 1. 1. 1. 1. 0. 0. 1. 0.
 0. 0.]",0.615384615,"[1.  1.  1.  0.  0.5 0.  1.  1.  1.  1.  1.  1.  0.  0.5 1.  1.  1.  0.
 1.  1.  1.  1.  0.  1.  1.  1.  1.  1.  0.  1.  1.  1.  1.  1.  1.  1.
 1.  0.5 1.  1.  1.  1.  0.  0.5 1.  1.  0.  0.5 1.  1.  1.  0.  1.  1.
 1.  1.  0.  1.  1.  1.  1.  1.  1.  1.  1.  0. ]",0.795454545,[1. 0. 1. 1. 0. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 1. 1. 1. 1. 1. 1.],0.818181818,FALSE,5
6,"[1.  1.  1.  0.5 0.5 1.  1.  0.  1.  1.  1.  1.  0.5 0.  1.  1.  1.  1.
 1.  0.  1.  0.  0.5 1.  1.  1.  1.  0.  0.  0.  1.  1.  1.  1.  0.5 1.
 1.  1.  1.  1.  1.  1.  1.  0.5 1.  1.  1.  1.  0.  1.  1.  1.  1.  1.
 0.5 1.  1.  1.  1.  0.  0.  0.  1.  0.5 0.  0.  1.  1.  1.  0.  1.  1.
 0.5 0.  1.  0.  0.  1. ]",0.724358974,"[1. 1. 1. 1. 0. 1. 1. 0. 1. 0. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 1. 1.
 0. 0.]",0.730769231,"[1.  1.  1.  0.  0.5 1.  1.  1.  1.  0.  1.  0.5 0.5 0.5 0.  0.5 1.  0.5
 0.  1.  0.5 0.5 0.5 1.  1.  1.  1.  1.  1.  1.  0.  1.  1.  1.  1.  1.
 1.  1.  1.  1.  0.5 1.  0.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
 1.  0.5 1.  1.  1.  1.  0.  1.  1.  0.  0.5 1.  0.  1.  1.  0.  1.  0. ]",0.763888889,[1. 0. 1. 0. 0. 1. 0. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 1. 0.],0.75,FALSE,6
7,"[1.  1.  1.  1.  0.5 1.  0.  1.  1.  1.  1.  1.  1.  0.  1.  1.  1.  1.
 1.  1.  0.  0.  0.5 1.  1.  1.  1.  1.  1.  1.  0.  1.  1.  1.  0.  1.
 1.  1.  1.  1.  1.  1.  1.  0.5 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
 0.5 1.  1.  1.  1.  1.  1.  1.  1.  0.5 1.  1.  1.  1.  1.  1.  1.  1.
 0.5 1.  1.  1.  1.  0. ]",0.871794872,"[1. 1. 1. 1. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1.]",0.961538462,"[1.  1.  1.  1.  0.  1.  1.  1.  1.  1.  1.  1.  0.  0.  0.  0.  0.  1.
 1.  1.  1.  0.  0.5 1.  1.  0.  1.  1.  0.5 0.  1.  1.  1.  1.  1.  1.
 1.  0.  1.  1.  1.  1.  1.  1.  1.  1.  0.5 1.  1.  1.  0.5 1.  1.  1.
 1.  0.  1.  0.  0.  0.  1.  1.  1.  1.  1.  1.  1.  1.  0.5 1.  1.  1.
 1.  1.  1. ]",0.78,"[1. 1. 1. 1. 0. 0. 1. 0. 1. 0. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 1. 1. 1. 1.
 1.]",0.8,TRUE,7
8,"[1.  1.  1.  0.  0.5 1.  1.  1.  1.  1.  1.  1.  1.  0.5 1.  1.  1.  1.
 1.  1.  1.  1.  1.  0.5 0.5 0.5 0.  0.5 1.  1.  1.  1.  1.  0.5 1.  1.
 0.  1.  1.  1.  1.  1.  1.  1.  0.  0.  1.  1.  1.  1.  1. ]",0.833333333,[1. 0. 1. 1. 1. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 1. 1.],0.882352941,"[1.  1.  1.  1.  0.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
 1.  1.  1.  1.  0.5 1.  1.  1.  1.  1.  1.  1.  1.  0.5 1.  1.  0.5 1.
 0.  1.  1.  1.  1.  1.  1.  0.5 1.  1.  1.  1.  1.  1.  1.  1.  0.5 1.
 1.  1.  1.  1.  1.  1.  1.  0.  1.  0.  1.  1.  1.  0.  0.5 0.5 0.  1.
 0.  1.  1.  1.  1.  0.  1.  1.  1.  0.  1.  1.  0.5 0.5 0.5 0.5 0.5 0.5
 0.5 1.  1.  1.  1.  0.5]",0.828125,"[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0.
 1. 1. 1. 1. 0. 0. 1. 1.]",0.875,TRUE,8
9,"[1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  0.  0.5 0.5 0.5 0.  0.5 0.5 1.
 1.  1.  0.  0.  1.  1.  0.  0.  1.  0.  1.  1.  1.  1.  1.  1.  0.5 0.5
 0.5 0.  0.5 0.5 0.5 1.  1.  1.  0.5 0.  1.  1.  1.  1.  1. ]",0.705882353,[1. 1. 1. 0. 0. 1. 1. 1. 0. 1. 1. 1. 0. 1. 1. 1. 1.],0.764705882,"[0.  0.  1.  0.  0.5 1.  0.  1.  1.  1.  1.  1.  1.  0.5 1.  1.  1.  1.
 1.  1.  1.  0.  0.  1.  1.  1.  1.  1.  1.  1.  1.  0.  0.  1.  0.  1.
 1.  1.  1.  1.  1.  1.  1.  0.5 1.  1.  1.  1.  0.  1.  0.  0.  0.  1.
 1.  1.  0.  0.  1.  1.  0.  0.  1.  1.  1.  1.  1.  1.  0.  0.5 1.  1.
 1.  1.  1.  1.  1.  1.  0.  1.  1.  1.  1.  1.  1.  1.  1.  0.  1.  1.
 1.  1.  1.  0.  1.  1. ]",0.760416667,"[0. 0. 1. 1. 1. 1. 1. 0. 1. 1. 0. 1. 1. 1. 1. 1. 0. 0. 1. 1. 0. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1.]",0.78125,FALSE,9
10,"[1.  1.  1.  1.  0.5 1.  1.  1.  1.  1.  1.  0.  0.  0.5 1.  1.  1.  1.
 1.  1.  1.  1.  0.5 1.  1.  1.  1.  1.  1.  1.  1.  0.  1.  1.  1.  1.
 1.  1.  1.  1.  0.5 0.  1.  1.  0.  1.  1.  1.  1.  1.  1.  1.  1.  1.
 0.  1.  1.  1.  1.  1.  1.  1.  1.  0.5 1.  1.  1.  1.  1.  1.  1.  1. ]",0.881944444,[1. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.916666667,"[1.  1.  0.5 0.5 0.5 1.  1.  1.  1.  1.  1.  1.  0.  0.  1.  1.  1.  1.
 1.  1.  1.  1.  0.5 1.  1.  0.  1.  1.  1.  1.  1.  1.  1.  0.5 0.5 1.
 1.  1.  1.  1.  1.  1.  1.  0.5 1.  1.  1.  1.  1.  0.5 0.5 0.5 1.  1.
 1.  0.5 1.  1.  0.  1.  0.5 1.  1.  0.  0.  1.  1.  1.  0.5]",0.81884058,[1. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 1.],0.913043478,TRUE,10
11,"[1.  1.  0.5 1.  0.5 1.  1.  1.  1.  0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 1.
 0.  1.  0.5 1.  0.5 0.  1.  1.  1.  1.  1.  1.  0.  0.5 1.  1.  1.  1.
 1.  1.  0.5 0.5 0.5 1.  1.  0.5 0.  1.  0.  1.  1.  1.  1.  1.  0.5 1.
 1.  1.  1.  0.  0.  0.5 0.5 0.5 0.5]",0.714285714,[1. 1. 1. 0. 0. 1. 0. 0. 1. 1. 0. 1. 1. 1. 0. 1. 1. 1. 1. 0. 0.],0.619047619,"[0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 1.  1.  0.5 0.5 0.5 1.  1.  1.  1.
 1.  1.  0.5 0.5 0.5 1.  1.  1.  1.  1.  0.5 1.  1.  1.  1.  1.  1.  0.
 0.  0.5 1.  1.  1.  1.  1.  1.  1.  1.  0.  1.  1.  1.  1.  1.  1.  1.
 1.  0.5 1.  1.  1.  1.  1.  1.  0.5 1.  1.  1.  1.  1.  1.  1.  1.  0.5
 1.  1.  1.  1.  1.  0.  0.  0.  0.5 0.  1.  0. ]",0.779761905,"[0. 0. 0. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 0. 0.]",0.785714286,FALSE,11
12,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.5 0.  0.  0.  0.  0.  0.  0.5 0.5
 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. ]",0.104166667,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0,"[0.5 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0. ]",0.012820513,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0,TRUE,12
13,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.5 0.5 0.  0.5 0.5 0.  0.5 0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.5 0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. ]",0.0625,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.5 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0. ]",0.012820513,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0,TRUE,13
14,"[0.  1.  1.  0.5 1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. ]",0.072916667,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.0625,"[0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.5 0.  0.  0.  0.  0.
 0.5 0.  0.  0.  0.  0.  0.  0.  0.5 0.  0.5 0.5 0.  0.  0.  0.  0.  0.
 0.  0.  0. ]",0.08974359,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0,FALSE,14
15,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.5 0.
 0.5 0.5 0.  0.  0.  0.  0.  0.  0.  0.  0.  0. ]",0.05,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0,"[0.  0.  0.  0.  0.  0.  0.5 0.  0.  0.  0.  0.  0.  0.  0.  0.5 0.  0.
 1.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.5 0.  0.5 0.5 0.  0.5
 0.  0.5 0.5 0.  0.5 0.5]",0.166666667,[0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],0.071428571,FALSE,15
16,"[1.  1.  1.  1.  0.5 1.  1.  0.5 1.  1.  1.  1.  1.  0.5 1.  1.  1.  1.
 1.  1.  1.  1.  1.  1.  0.  1.  1.  1.  1.  1.  1.  1.  1.  1.  0.  1.
 0.  1.  0. ]",0.858974359,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0.],0.923076923,"[1.  1.  1.  1.  0.5 1.  1.  0.  1.  1.  1.  1.  0.5 1.  1.  1.  0.5 1.
 0.  1.  1.  1.  0.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  0.  0.5 1. ]",0.833333333,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0.],0.916666667,TRUE,16
17,"[0.  0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 1.  1.  1.  1.  0.  1.  1.  1.  1.
 1.  1.  1.  0.5 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
 1.  1.  1.  1.  1.  1.  1.  1.  1. ]",0.855555556,[0. 0. 0. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.8,"[1.  1.  1.  1.  0.5 1.  1.  0.5 1.  1.  1.  1.  1.  0.  1.  1.  0.5 1.
 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
 1.  1.  1.  1.  1.  1.  1.  1.  0. ]",0.922222222,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],1,FALSE,17
18,"[1.  1.  1.  1.  0.  1.  1.  1.  1.  1.  1.  1.  1.  0.  1.  0.5 1.  1.
 1.  1.  1.  1.  0.5 1.  0.5 0.5 1.  0.5 0.5 1.  1.  1.  1.  0.  0.5 1. ]",0.819444444,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0.],0.916666667,"[1.  1.  1.  1.  0.  0.  1.  0.5 1.  1.  0.5 1.  1.  0.5 1.  1.  1.  1.
 1.  1.  1.  1.  0.  0.  1.  0.  0.  1.  1.  1.  1.  1.  1.  1.  0.  1. ]",0.763888889,[1. 0. 1. 1. 1. 1. 1. 0. 0. 1. 1. 1.],0.75,TRUE,18
19,"[1.  1.  1.  1.  0.5 1.  1.  0.5 1.  1.  1.  1.  0.5 0.5 1.  1.  0.5 1.
 0.5 0.5 1.  1.  1.  1.  0.5 0.  1.  0.5 1.  1.  0.5 0.5 0.5 0.5 1.  1.
 0.  1.  1.  1.  1.  1.  1.  1.  1.  0.  1.  1.  1.  1.  1. ]",0.81372549,[1. 1. 1. 1. 1. 1. 1. 1. 0. 1. 0. 1. 1. 1. 1. 1. 1.],0.882352941,"[1.  0.5 0.5 1.  0.5 1.  0.5 0.5 1.  1.  1.  1.  0.5 0.  1.  0.5 1.  1.
 1.  1.  1.  1.  0.  1.  1.  1.  1. ]",0.796296296,[1. 1. 1. 1. 0. 1. 1. 1. 1.],0.888888889,TRUE,19
